frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.81.139,192.168.81.2,61023,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.022909,192.168.81.139,192.168.81.2,58730,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,0.0.0.0,,,0.0
5.020017,192.168.81.139,192.168.81.2,54921,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.006081,192.168.81.139,192.168.81.2,50720,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.016277,192.168.81.139,192.168.81.2,60974,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.014673,192.168.81.139,192.168.81.2,56179,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,0.0.0.0,,,0.0
5.000213,192.168.81.139,192.168.81.2,65125,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.009551,192.168.81.139,192.168.81.2,53052,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,0.0.0.0,,,0.0
5.023107,192.168.81.139,192.168.81.2,56579,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.012124,192.168.81.139,192.168.81.2,60073,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.004527,192.168.81.139,192.168.81.2,49724,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.019819,192.168.81.139,192.168.81.2,49198,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.014278,192.168.81.139,192.168.81.2,54204,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
4.99648,192.168.81.139,192.168.81.2,63460,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.016296,192.168.81.139,192.168.81.2,56527,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.0076,192.168.81.139,192.168.81.2,51588,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001355,192.168.81.139,192.168.81.2,54903,53,104,0,api.02ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.49,,,0.0
0.001075,192.168.81.139,192.168.81.2,64982,53,104,0,api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,205,,s442FT1Rs/1o6mfju3eI36N1AlYfA4zToKvvV6eRTsAW9+tCdpH9dXs8CbV6bSvnO2fws/pI53HYHl/duyXpPw==,88.0,0.0
0.001075,192.168.81.139,192.168.81.2,64982,53,104,0,api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,205,,s442FT1Rs/1o6mfju3eI36N1AlYfA4zToKvvV6eRTsAW9+tCdpH9dXs8CbV6bSvnO2fws/pI53HYHl/duyXpPw==,88.0,0.0
1.026243,192.168.81.139,192.168.81.2,64982,53,104,0,api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,205,,s442FT1Rs/1o6mfju3eI36N1AlYfA4zToKvvV6eRTsAW9+tCdpH9dXs8CbV6bSvnO2fws/pI53HYHl/duyXpPw==,88.0,0.0
1.026243,192.168.81.139,192.168.81.2,64982,53,104,0,api.12ede1c04.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,205,,s442FT1Rs/1o6mfju3eI36N1AlYfA4zToKvvV6eRTsAW9+tCdpH9dXs8CbV6bSvnO2fws/pI53HYHl/duyXpPw==,88.0,0.0
4.664784,192.168.81.139,192.168.81.2,60034,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.008492,192.168.81.139,192.168.81.2,55972,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.011536,192.168.81.139,192.168.81.2,56380,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.012812,192.168.81.139,192.168.81.2,58074,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.004925,192.168.81.139,192.168.81.2,52587,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.000965,192.168.81.139,192.168.81.2,52029,53,104,0,api.055c37ca0.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
5.011276,192.168.81.139,192.168.81.2,50074,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.019809,192.168.81.139,192.168.81.2,57216,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.001432,192.168.81.139,192.168.81.2,59377,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.011967,192.168.81.139,192.168.81.2,52739,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.008644,192.168.81.139,192.168.81.2,55235,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.022109,192.168.81.139,192.168.81.2,54140,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001639,192.168.81.139,192.168.81.2,52974,53,104,0,api.044ad4bcb.2bb0a7b2.ns2.ssltestdomain.xyz,A,120,74.125.196.65,,,0.0
0.001526,192.168.81.139,192.168.81.2,60917,53,104,0,api.144ad4bcb.2bb0a7b2.ns2.ssltestdomain.xyz,TXT,181,,DGlhY1okH9GmvXVroQbQ0B1o2vZ0pi0l3DwnUuXbIeNgPMKxisouHUMr/PCmmyGm,64.0,0.0
0.004143,192.168.81.139,192.168.81.2,59268,53,110,0,post.1180.019104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,126,74.125.196.113,,,0.0
0.001615,192.168.81.139,192.168.81.2,62332,53,277,0,post.3dc74cb3308365417ce6363aff1cfbddcb30dbc2a2de5926e312201c1.d9a4c9568c0d2cb56970c679f4b57da0d1e9ac45f9171103b740e863.16b5c25c3bda03532a84b8b2509abdac655001a6399474ab981b8545.119104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.002001,192.168.81.139,192.168.81.2,51693,53,277,0,post.3d47e42078300b156db65014a9d618dec7a5ccf9bdf81b8b997752603.481e4c4e9e0b85046151c1273f96646c61b32948e8ebd10e62381df9.bd3a5c9f696942e4da9b138baacf4f5b9ac77ea05c43263a01f7c5b4.219104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001963,192.168.81.139,192.168.81.2,61444,53,277,0,post.355bd5e850ed12c47221f771a5051691e41d29defdd0fad69503402c0.493fcdf1a96c80b3282cdab8d90fa4e639e42fd6c21efa8b6a2a54ca.1f3c7bb78dcd2e3dc0ab7b546c48bc05bdfafacd7db1ca6f9d996cde.319104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001536,192.168.81.139,192.168.81.2,63020,53,277,0,post.35eaf86f1c7d3a72c126f18680da64dbe3a78c7f56962dc15e819c093.130c2eeccdd0315d283d5dd8fc044996b6ce12f9e59a6f5096b7c6b8.2e6c01b9bd6e1d987fbbae3bc3dc7b939b4f5337fae5db4e49cf8257.419104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001536,192.168.81.139,192.168.81.2,63020,53,277,0,post.35eaf86f1c7d3a72c126f18680da64dbe3a78c7f56962dc15e819c093.130c2eeccdd0315d283d5dd8fc044996b6ce12f9e59a6f5096b7c6b8.2e6c01b9bd6e1d987fbbae3bc3dc7b939b4f5337fae5db4e49cf8257.419104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
1.026296,192.168.81.139,192.168.81.2,63020,53,277,0,post.35eaf86f1c7d3a72c126f18680da64dbe3a78c7f56962dc15e819c093.130c2eeccdd0315d283d5dd8fc044996b6ce12f9e59a6f5096b7c6b8.2e6c01b9bd6e1d987fbbae3bc3dc7b939b4f5337fae5db4e49cf8257.419104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
1.026296,192.168.81.139,192.168.81.2,63020,53,277,0,post.35eaf86f1c7d3a72c126f18680da64dbe3a78c7f56962dc15e819c093.130c2eeccdd0315d283d5dd8fc044996b6ce12f9e59a6f5096b7c6b8.2e6c01b9bd6e1d987fbbae3bc3dc7b939b4f5337fae5db4e49cf8257.419104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001824,192.168.81.139,192.168.81.2,58808,53,204,0,post.2cd6797b1ce87ca276e3581a161f026de10c74836ada78f50.a9d1073747daabb1abd3732d9aadcd6c00140af144ae153b.519104812.2bb0a7b2.ns2.ssltestdomain.xyz,A,220,74.125.196.113,,,0.0
3.080648,192.168.81.139,192.168.81.2,53147,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.01951,192.168.81.139,192.168.81.2,64309,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.019786,192.168.81.139,192.168.81.2,55986,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001543,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
0.001543,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
0.001543,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.027211,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.027211,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.027211,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.014345,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.014345,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
1.014345,192.168.81.139,192.168.81.2,52819,53,104,0,api.07a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,A,120,74.125.196.241,,,0.0
5e-05,192.168.81.139,192.168.81.2,60395,53,104,0,api.17a8a58d4.2bb0a7b2.ns1.ssltestdomain.xyz,TXT,289,,VIf7oCQH4iqGL9Tp+HV5LWvUqAicfn8PqwWKjxHJgJN3M0rITtrP2EPVHiDdN6xJ1WptYcC1D8uAuhY0NLO9f3bbj0UPKdv3sIy9YXDoAGUO4yIAFbs8Vua47wqjJ6LTQjBULsbnW5ONTkWqCcpDhhNbN4MxjB5mbnQgQfZvQzk=,172.0,0.0
