frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.183.133,192.168.183.2,54331,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.0126,192.168.183.133,192.168.183.2,61801,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.130,,,0.0
0.000931,192.168.183.133,192.168.183.2,64451,53,108,0,www.180.010820e1a.782f55f2.ns2.ssltestdomain.xyz,A,124,74.125.196.113,,,0.0
0.001151,192.168.183.133,192.168.183.2,60373,53,276,0,www.32607472ccf6b9cc2d6387864ce8fd3b355cd2960fde3b92a34b59ff4.7262991eeed4b5bb23ea9da0e4494b5ea832bb72f51e265ee76b4939.5bd754f538ee95102c0ff86030f84a7d69a8582c41ea27d1ff0bca07.110820e1a.782f55f2.ns2.ssltestdomain.xyz,A,292,74.125.196.113,,,0.0
0.001047,192.168.183.133,192.168.183.2,55467,53,187,0,www.27c46eb4b8efe653a9dba2e4bdd89ce13f1d0497a.303b5d9d1c9438162bab2554c2a4a55726c0dc42.210820e1a.782f55f2.ns2.ssltestdomain.xyz,A,203,74.125.196.113,,,0.0
0.001091,192.168.183.133,192.168.183.2,61243,53,114,0,www.1b8f364e6.310820e1a.782f55f2.ns2.ssltestdomain.xyz,A,130,74.125.196.113,,,0.0
0.001087,192.168.183.133,192.168.183.2,56379,53,103,0,api.06873115.782f55f2.ns2.ssltestdomain.xyz,A,119,0.0.0.0,,,0.0
10.010778,192.168.183.133,192.168.183.2,56607,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.022708,192.168.183.133,192.168.183.2,60658,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.018179,192.168.183.133,192.168.183.2,54742,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.022686,192.168.183.133,192.168.183.2,49175,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.022942,192.168.183.133,192.168.183.2,63684,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.010829,192.168.183.133,192.168.183.2,60314,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001091,192.168.183.133,192.168.183.2,61687,53,104,0,api.07f994c78.782f55f2.ns2.ssltestdomain.xyz,A,120,74.125.196.49,,,0.0
0.001125,192.168.183.133,192.168.183.2,52902,53,104,0,api.17f994c78.782f55f2.ns2.ssltestdomain.xyz,TXT,205,,8lcerYZ6scQKYy0iUOMF+dhvxaxVMSGIcpSqkwCmET5UCUdBcQnUsJbDraSxvWXo9za/DI51g0a9Pb6lRdq7MA==,88.0,0.0
0.008949,192.168.183.133,192.168.183.2,56140,53,110,0,post.1150.013c66e8a.782f55f2.ns2.ssltestdomain.xyz,A,126,74.125.196.113,,,0.0
0.00097,192.168.183.133,192.168.183.2,52815,53,277,0,post.352a3199716b65554f0be9c24b834402c46edbe2ec9d4aec2231a9544.d2a752eb97b7214945260550e737eb7be5e661e4a194480fc0ed5b38.73a815ad4627ffba4c4fb43ed6c075ebc20b05abf0c2b149b9bfdd60.113c66e8a.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001241,192.168.183.133,192.168.183.2,61811,53,277,0,post.338cf415dee65ce5e77920c7d9aaf2bf4fb4d4588f5617086124b565b.4085d5a393215bfa0175c315f7c82ab45ef355c48fc13fc2e39c7181.f9bf012262271a2976ab579cfbf63568575d32d41d717e51a0e898f7.213c66e8a.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001105,192.168.183.133,192.168.183.2,57629,53,277,0,post.3f9d9b2ad6d96879c24aab92bd7a21cdf0db5dde4b3d3d41fe1728b60.1d77a2c45899f2ce59b5588541308f2db8b6462ff7608db93a8b76b0.ff030e21f3493701ee3ea4c3b3f3a606fc0083c8c3e356248af51815.313c66e8a.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001095,192.168.183.133,192.168.183.2,55872,53,277,0,post.31c913aed81e2e44ccfb0d3ba8c0999f53b965f7e973f2e3bc777d6e1.6d56eb97db70a1ac67f0e68b724249ca3a84fd5977f9d61f0ca647ae.acb168b28383156b73cc705f66a09215eead89e2acaac80ab8def5dc.413c66e8a.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001591,192.168.183.133,192.168.183.2,60651,53,109,0,post.130.05ce923bb.782f55f2.ns2.ssltestdomain.xyz,A,125,74.125.196.113,,,0.0
0.001022,192.168.183.133,192.168.183.2,49541,53,204,0,post.2444513ee25a64356b09797c7e4e3185010d39aecee812f2a.dbe277f7e32045e64b290c41f6f5eaa4bb886efcc0faa51e.15ce923bb.782f55f2.ns2.ssltestdomain.xyz,A,220,74.125.196.113,,,0.0
10.012264,192.168.183.133,192.168.183.2,62226,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.02587,192.168.183.133,192.168.183.2,50670,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001002,192.168.183.133,192.168.183.2,52230,53,104,0,api.02fa56834.782f55f2.ns2.ssltestdomain.xyz,A,120,74.125.196.33,,,0.0
0.001064,192.168.183.133,192.168.183.2,56609,53,104,0,api.12fa56834.782f55f2.ns2.ssltestdomain.xyz,TXT,225,,9gKAs0LKBBhuozleU4MxDW4bx+3pRRHyvOfp81ZBvMJu7FlqjoWM6snt/XsbzzeBh/kgPcCp2NwOehsEeTq28n1fuTBbGKU0t6RRvHEBRpo=,108.0,0.0
0.005989,192.168.183.133,192.168.183.2,58456,53,110,0,post.1220.0714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,126,74.125.196.113,,,0.0
0.000943,192.168.183.133,192.168.183.2,52226,53,277,0,post.37a9622e19a2ae2a0b90196fcc98297f92ab9c76dee3970f650977b4d.d26b49262330d5a2cea966565851b92c77e5e12ef0245c14db3cb7c5.98cc1a9e364ab658c8d32e83d0c1efca4a0c54f22571246e2cc8619c.1714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000939,192.168.183.133,192.168.183.2,61425,53,277,0,post.37ecab6a507783f89595f65608806d4534f59d25c618a9642e31d1834.bc6a66fc984bf1354f74f59a09a2ed62dbc21153146a019d57fcd208.0c46dc63bd51ae44466ad934d74a285aa5c837c83e1afc5b70e15c2a.2714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.00114,192.168.183.133,192.168.183.2,56315,53,277,0,post.3117aa8e5e17819fffd220918cdf0d41e55c8a62a55832d055a9a8699.49c565d02b37f03c6186e27c7ab17d0fcaf9f793465cd7d0bb38b5e9.708562db3531acddcae2fe29b3d411a87dcbcb1eb2af3591654718b7.3714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001075,192.168.183.133,192.168.183.2,65101,53,277,0,post.367e49baa171f3bf6483fa75f6f5fbc2c335a0675823aca01417c862d.586c7e50ac1adf2cc2cd4e9504880d48215bab9889fdcb3fb771ef17.86cb6f0434ddc32374c69e26798d1b46df95f06739d08287da13c682.4714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000976,192.168.183.133,192.168.183.2,51693,53,277,0,post.39c67904e1f9387a4e7697561a4f99bb455b8dadbc46559a48539d60f.f25ae5039df8eeb369b1b99acd18520814628f402146c60522e92a93.4d34e7bcfb4882c88e031072b2c14130d84eba7e6e7e26b74f047882.5714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001145,192.168.183.133,192.168.183.2,56854,53,277,0,post.3e0b6bf2bde753319a41587cb52efae16803fd6187409720fff87c70c.33550e9bf5aa2bf20e1ff15e132fea76d37945cf80177a3e21bb249b.30d8e742f662c0279494534549735b753b5eb4fb451ca17a6adb8e38.6714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001512,192.168.183.133,192.168.183.2,49512,53,188,0,post.25c492313e145139f6bf7039a9ffb2d577294efe7.f8fd121a959b50107c157c58f659c5eed5a94fe3.7714e26a0.782f55f2.ns2.ssltestdomain.xyz,A,204,74.125.196.113,,,0.0
0.012358,192.168.183.133,192.168.183.2,53577,53,110,0,post.1220.019fa3669.782f55f2.ns2.ssltestdomain.xyz,A,126,74.125.196.113,,,0.0
0.000673,192.168.183.133,192.168.183.2,49736,53,277,0,post.3426666b2175d07d7e4d443101b8f6668ed6d8f9bf7290d2c1eb834b6.49843d4f7b4ab87d7650317f620b37c56e628930734e1c9e181daafb.707cd6497b97eab6e429a964f7dfb1858f8003edb24d80bee3c8f2aa.119fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001042,192.168.183.133,192.168.183.2,58979,53,277,0,post.3e048b548adfd3162673604a4ca9034fb869f13c2e3f20fda88f1ddd4.7b51005b7a3dc0207d4f82ae5e0b7a4e4fc97415115dc17f87d92aac.c77d10d93e3fa2f81f9d247cb60af4237d92526ee95b55e9f76b8286.219fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.00104,192.168.183.133,192.168.183.2,54523,53,277,0,post.3f6a8dfcdaf2cba740b99e4f8ec823453a8cdcd94e1e08475ca3839c3.acaeaacc375662ceabd1dd2757eb463837b8259a0e019271b328e957.1f8fca68db974ce48dc23910b1b3de9d62c8f92d0a6000223f5c517f.319fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.002208,192.168.183.133,192.168.183.2,55607,53,277,0,post.3fc33807066235585764cd99ed55775016129bd62e7bbcccb0c3b7d6e.4b3b935bc1bddc3d7be50276d82885857078238b3cdbdc3a8c1dfcb6.211d8c4a4c35627eb517963633a30b922040d6659903f91eae2f8690.419fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000984,192.168.183.133,192.168.183.2,54643,53,277,0,post.3cd27575db01e213de84e707a6f0dd12932495570469093bcc2e65d66.706439b984b97c3cff815290d5d23ca5f7063b5442034eff542b0bea.ef5c222ed2934c64dc4125b7187c402679514b6998c1929a42b4e86e.519fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000974,192.168.183.133,192.168.183.2,60609,53,277,0,post.3e3bac983501a636096dad373a17f6a0407b2470f5eaef9be8757f9cd.f3f3543f9a1740f0760f189ee73342006f256884257165e6dc29b528.9349d522aec8eb1a822a333ef2bd249da802a8a5b8728fd4ce0dfb64.619fa3669.782f55f2.ns2.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000938,192.168.183.133,192.168.183.2,58989,53,188,0,post.27a153c7d53608585614f77cd314d40975fb0fab0.508a830da85b12045e1fe0013cff82726df4379c.719fa3669.782f55f2.ns2.ssltestdomain.xyz,A,204,74.125.196.113,,,0.0
10.013727,192.168.183.133,192.168.183.2,57975,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.00087,192.168.183.133,192.168.183.2,54030,53,104,0,api.02c591cc4.782f55f2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
0.00087,192.168.183.133,192.168.183.2,54030,53,104,0,api.02c591cc4.782f55f2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
1.008102,192.168.183.133,192.168.183.2,54030,53,104,0,api.02c591cc4.782f55f2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
1.008102,192.168.183.133,192.168.183.2,54030,53,104,0,api.02c591cc4.782f55f2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
10.009834,192.168.183.133,192.168.183.2,59590,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001052,192.168.183.133,192.168.183.2,58392,53,104,0,api.078ff2f44.782f55f2.ns2.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
10.024313,192.168.183.133,192.168.183.2,53164,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.000831,192.168.183.133,192.168.183.2,63646,53,104,0,api.071456bc4.782f55f2.ns1.ssltestdomain.xyz,A,120,74.125.196.49,,,0.0
0.001166,192.168.183.133,192.168.183.2,51143,53,104,0,api.171456bc4.782f55f2.ns1.ssltestdomain.xyz,TXT,205,,5d4xkVBupf2XbGLf8KBITRSVp8TVL12e2n7udTQadq5YCAq69E8sc4EvuQpRGeASFRKenPFamathIPQn5HVR+g==,88.0,0.0
0.008816,192.168.183.133,192.168.183.2,64708,53,110,0,post.1240.02dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,126,74.125.196.113,,,0.0
0.000987,192.168.183.133,192.168.183.2,61793,53,277,0,post.33198c8e33d6979a68887da3db0d5fb9386f23aa59d80e9b1b68b223c.8d80712b8653efa29ed6d553e0e65376e049172061372ef1dda2e87c.ac95f15f949fe55c2e88ca91a326c8a1b531249b409835ae99acb4b9.12dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001057,192.168.183.133,192.168.183.2,51093,53,277,0,post.3aa54f6dd7abc5bc300ed6e21b87c779a37fa1ac1f786bb02b7f1946c.7e90f09da9ecb7da346e5f7d08255460dfc6fdc78ef9d91d50533d58.b2504ae36ecb54b0425693ef479c0e14f8dac8f8bfaa438f48e67d8f.22dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001122,192.168.183.133,192.168.183.2,61169,53,277,0,post.38e74f1afa53bb149811e06c8d38b752ccdb825ca2a75ee22c09e79d0.b0b6247f5b09a3a0d57602ebe063b2418c55521b626279c7c01a0713.04fc59544ac0f9a525fe967f9efb0789db76aed8ea3d565d1ec6b8ed.32dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000937,192.168.183.133,192.168.183.2,62173,53,277,0,post.320fe51e61aa39eb619a93905d96c18812515c47de3488da9401391a0.d63b93a50aca06307f2c4bb8d0b1babf24c46ffff9d221a4c29a8774.4cf00da7c6d0d4e431157eb85aac2093e7a5ab404f66e84fa07ffc52.42dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001893,192.168.183.133,192.168.183.2,64864,53,277,0,post.39e93ae03f3cca85e222c9be1dd188576d508412c4389a62d6955e58e.1201b2a18b0b82449f8371aae2f7212cc4e85466333fdb1620f86d3e.d2cafb91d6c2ae3c5f20a00585722191d4945511fef71bdec6f946f8.52dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.000953,192.168.183.133,192.168.183.2,61673,53,277,0,post.3acad9bcbaea5ce6b8ee2dd9d97b29e7ed5bf8859095e2323bccd8da1.5e5905db9b184d4e5767a0579129cd31b726e0b8cdf738401c5acf5c.ada4565deaaf462bdb87934b78c01885933bd53214e17691f2e8127d.62dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,293,74.125.196.113,,,0.0
0.001157,192.168.183.133,192.168.183.2,56378,53,220,0,post.26edd8a13be7cc70bcf3f49bc14727fd6db62e5469beae3653c09ec7c.3d16f8bad14e11eecba8603e932e7447e6b8f2a351405ca7050c173b.72dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,236,74.125.196.113,,,0.0
0.001234,192.168.183.133,192.168.183.2,53870,53,139,0,post.1f723c3b85e2fb98629c9ef97189250c8.82dee38ed.782f55f2.ns1.ssltestdomain.xyz,A,155,74.125.196.113,,,0.0
10.01941,192.168.183.133,192.168.183.2,53957,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.000779,192.168.183.133,192.168.183.2,51656,53,104,0,api.0302d1ba3.782f55f2.ns2.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
10.026746,192.168.183.133,192.168.183.2,59500,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.004614,192.168.183.133,192.168.183.2,50105,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
