frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.183.133,192.168.183.2,64690,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.022452,192.168.183.133,192.168.183.2,61727,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.026758,192.168.183.133,192.168.183.2,49820,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.025007,192.168.183.133,192.168.183.2,54057,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.008031,192.168.183.133,192.168.183.2,65327,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.009361,192.168.183.133,192.168.183.2,63795,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.023887,192.168.183.133,192.168.183.2,61587,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.020489,192.168.183.133,192.168.183.2,54499,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.009023,192.168.183.133,192.168.183.2,59971,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.015504,192.168.183.133,192.168.183.2,60771,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.029749,192.168.183.133,192.168.183.2,57982,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.006677,192.168.183.133,192.168.183.2,60645,53,90,0,782f55f2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.024576,192.168.183.133,192.168.183.2,51574,53,90,0,782f55f2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.001125,192.168.183.133,192.168.183.2,55547,53,104,0,api.057ce111a.782f55f2.ns1.ssltestdomain.xyz,A,120,74.127.190.17,,,0.0
0.001257,192.168.183.133,192.168.183.2,51899,53,104,0,api.157ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,dVvS1Gwu8zwjuGG8Oc85EY7dBifauD4Oe9uM+SHnSWt9uXlmszy2EYuZCjP8kUuT5/IlIq5WxZO2Wv0bHeVEToHSwc9J23Dv/0o4Q4oeqjRClsBkVgpehbrWSGLaVc0OPhhHwVF69ifUZDpAKpB9fD5v94zVxhgA1lixkSc3Vq3UoqYXOzGJH430l1H3j+au/zMzDgvz7S69NpVm5G8cjd3mywALe7UZKJnWb2EK6F46x1/zbNGRPK05O30v,252.0,0.0
0.000775,192.168.183.133,192.168.183.2,49941,53,104,0,api.257ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,KIzkWF+/AKImcXYerBWL1tB92JiE8AdSRWn6c16EVswZxalQXoPzKTC4ACfpOg4ARA3rlfW4UbwUkJEuAcg0kFdebiiGeHnaC87sTQrNK/El1xZxXLvnjVStzGhd6MMbG3C+yz8iYSsbsPd5HZcGZJjtVA9ZLG0221gRXPA41R21XWbMdxUqMih0CrLpfmMF/38A/OD0XMA9FKwL3eS1pz4qCycvyd4X0ydRUCz9L/LIPDkR92GBqoKItZ8v,252.0,0.0
0.000663,192.168.183.133,192.168.183.2,64995,53,104,0,api.357ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,4nMCEDyhvWd1JyrG++1xDOFom2xJ688jYQbxY0wrcSye9cvgexBVw4hNpbataGNKDyjxQqpuMrFTe9kKtBeRHpL+BNW+JcbfoTg5BPLQfDRRrUtfoOmPFa8vGdjfyvnNL0f+0QKHp6KtRpJy2RZ/6kXQTC0fEGZW0hTc9pO6f4mw9vhmhxeIlLVNzxfYdsw1DPoJJoBX5Vk6m6xk/9+6ORbSOroOLYCaD3Q6OW4xw+Ht3hHM4WIiRwf/uMWy,252.0,0.0
0.000838,192.168.183.133,192.168.183.2,53453,53,104,0,api.457ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,5STluzOAyk5i3LQsw2tZZY6RWakgchfhEe1zxwoOg46DJelFcjsxxT4emHqnuT7fNDaY1c+R//Y5ErkNHD9Re7T0ae2QFWsLs1IEOQJGakgeGfqrfafteChOcuf5XDeuHn7Q7kX4J73IDcgpvMG/maOLOqcKncDZgukZP6cXun4VLx+tFBsw6kVahyK2DES+OXVvXCM0tx06wAmrWstqJjDM+u2GjGqe5pWOEaWYSybqTafYURaOsiSkLiA0,252.0,0.0
0.000578,192.168.183.133,192.168.183.2,58664,53,104,0,api.557ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,fa/fctyLn+S7+qLCFiQXBo64j1rbmavD/f9yBAKFguujb7VLcRQwl4A8FNKVesFdkqC1AbcO83SHddFQkObNzynDL5JWoxFBr3ORsL4qLRD1uLnfua5zyBK+bqR5kA/aF5ZV4YY+Y1h+KkW6KfiGF3nogJ3MuLMfzOo6V28EOr0pJoT6eXQUm5Yyu8oweA5pRbybUhSBqZH6EoMmwQAarY7MN8KwzvEIAgGwgqnlTZ7iojSPlYoCMTT6newb,252.0,0.0
0.000573,192.168.183.133,192.168.183.2,64533,53,104,0,api.657ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,H8mcp7rYtU3GOgcRC6czjylsPE2MbIQWV+MysD1n8314lm/BY1j7jkedVxaXJ9wou6iKccCsx9ohAAwfdKeM3cDby/yvLOmWv6Ds192ejtNl2duXpmVxdAWAx7qKm4DimVUI9UBxIlsKkRVxmg3QnhdYE0SQqwDLm88p3wBN/hW3B/+HmJrWhNhLsGqmcUFhILdx6qeCMdhpDaAXLlgbD3RDda3nA93OxTypezQXv6siFbQt66y8+X7l7IWS,252.0,0.0
0.000571,192.168.183.133,192.168.183.2,51313,53,104,0,api.757ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,/ASRpcNm5R1rhcebDCSlXOtx6AYXbPDLnR2iFQvNBPMQNSyPRdilEhyxdn/RusIervuunPmW95qwZj9u7MymUniUKZcwZbHdH9Mgbb6rKuxnDI38ateg9j/fByEZyqoup8je4U6sQ1nPGQjcd945iCi5V1txzZQOIp5dZhB1rIEqt+gTdMxQo8BVvLkvR31u7VYEtYxObfkWwnVsX+4kTPzkvPSSeU2Uyl7CohbG4yS94bRLu7icz3em+hH3,252.0,0.0
0.000671,192.168.183.133,192.168.183.2,51775,53,104,0,api.857ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,mge0vOmtArj/o4GV6f+tLxqCqYt7t6US3INnjcmS/9UKooR7RGTbTn4vY6XCNIw312k/toP13lyJ7yQ6VI35K2+dSUjs9DogRQuYCQF2SyrsAd2tFJLCQsScRbeGiMxKKg4Dlkwup60oPVwecCwloPrLH1Esfsj4e97qAnW7ceHrH2G30NPUOKuqpxxTgM10WP8gC8Zr4iitovAddM1tG10JQYVCNzspt4M3qVh3v8GAzJ1Vx611JEin4dpo,252.0,0.0
0.000719,192.168.183.133,192.168.183.2,63202,53,104,0,api.957ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,I2vcGa31+Fz2SMQ8J8y/zsQR0saVai6DG2RLm7wY2SgwX2hqJ5eMpFb8MLGa+j+3OmrFKGof4jnH9jVhTXaty7FvT1xZyR4NgWUgudo6lDp063wZwZHyJgkwE/JWD8FbnFuWDcaLv83TU/fhRXhcPOKYlFbP0XOq0GQBXz5z75tIyVmRLTRAuDYTegLJnbVI8yRtfZ/cj1k43xZ0i+AYpo20owqsW2LkrTEuDbmgh+PGoW7IuWMmsumraRrj,252.0,0.0
0.000557,192.168.183.133,192.168.183.2,64952,53,104,0,api.a57ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,EFwn2ai9GnIA2kdBAmtJNM6/6N5V6ikQ5Oiq0DAo4X1LUr7i7ZRj3kZLLs1osUiJFdi1sCRBCFk6GTNBB9SgMWmGBHZz69CAfpuA6euKLbGRL/JFWW3CjMHSVfeHY1Z+0fAcT7QnjMZEn7FlhC+DUdXyF4xNfbjqTRvRudFZnKF2rnGIwJXnDbX6I3iwmthT0481drkpUs7qs5jDq3EAutK4fQGkhMIMooOOUuW/e/g/Hs0lJxkShK7aSxnX,252.0,0.0
0.000847,192.168.183.133,192.168.183.2,63905,53,104,0,api.b57ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,Z2Fn9vpbqohn51kPDif2W4Mw6Ej6RAbDGQkzUft61iwtjrLyeKADgIVswGJWlXs2ojwb/8Re5iO3hWkHlb3DWfDpDRfRyr+Olt5/CAUoOrWp80ez1LoHFuKhXhIVzClbWcK9LGuv5SPTMmSfMR0yjY55ra775LpKxCbrqBt8C5VdR+mqnkIPpz9wNEDLC1E5DeQPYgM0BPohZGCGw324oYqDtt4nGza6li2rWL8QRiagVEaYjJMRJLMevRVQ,252.0,0.0
0.000793,192.168.183.133,192.168.183.2,59190,53,104,0,api.c57ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,4ygu3THWM8E4lUFvLks4xCYmwsXCLuxfNnr4PsrQhjmk6krbkAq4arYZLm2vtfeoIsL+EM9RmFAydfJZyZ6DiTCILpFllmyy7fV0z2N91zqkFB/rRSvU9hkaF2P5YG09nh8MhZAtnpMwUZbn6I2zEa37lDzE0zgWOmJtjb/Scll2kshsY1X1oo1SHxjAhWJL7VXm8Kl/ZXo+UZOS6r4jNXUiDU/FI+n3qAzUC6uRAKfH3vSGRFEZsTvDfXbZ,252.0,0.0
0.000834,192.168.183.133,192.168.183.2,59838,53,104,0,api.d57ce111a.782f55f2.ns1.ssltestdomain.xyz,TXT,369,,oycDjYl2JDg4kFiNv3nG/3kwc32FC3eZQTVnAT339j75HgFKUSp7MUnFHahX/aD4sCbn8nLL80sccCGIp0+RWsNRyU/VW/S+Gq6FSm3NgU2f6ykbNqQEifZzaudZIClYqY2daI8a4fZtpHXwK3iwKDYJYREyXlpBw+zUlaJvUV9pknEmiBrcRHfjyiKxd7/97qowx44ZO5qJjqwYF5hDf13RC+e0Q+guXHhryzSclSsHLXLhLBtRUZnzcHQo,252.0,0.0
