frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.183.133,192.168.183.2,64965,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.130,,,0.0
0.001089,192.168.183.133,192.168.183.2,64642,53,108,0,www.180.03fd576a2.2f195fb2.ns1.ssltestdomain.xyz,A,124,74.125.196.113,,,0.0
0.001277,192.168.183.133,192.168.183.2,56832,53,276,0,www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.13fd576a2.2f195fb2.ns1.ssltestdomain.xyz,A,292,74.125.196.113,,,0.0
0.001321,192.168.183.133,192.168.183.2,50661,53,187,0,www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.23fd576a2.2f195fb2.ns1.ssltestdomain.xyz,A,203,74.125.196.113,,,0.0
0.001225,192.168.183.133,192.168.183.2,53815,53,114,0,www.1a58deb48.33fd576a2.2f195fb2.ns1.ssltestdomain.xyz,A,130,74.125.196.113,,,0.0
0.001261,192.168.183.133,192.168.183.2,50104,53,103,0,api.0e1a28cb.2f195fb2.ns1.ssltestdomain.xyz,A,119,0.0.0.0,,,0.0
10.00827,192.168.183.133,192.168.183.2,51442,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.015187,192.168.183.133,192.168.183.2,62864,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.131,,,0.0
0.000936,192.168.183.133,192.168.183.2,57283,53,104,0,api.0376029d5.2f195fb2.ns1.ssltestdomain.xyz,A,120,74.125.196.49,,,0.0
0.001249,192.168.183.133,192.168.183.2,63660,53,104,0,api.1376029d5.2f195fb2.ns1.ssltestdomain.xyz,TXT,205,,YlbbjzgG/cladUe05fZZq0E5G+gJQqUJ+GPprP3sN9Q5E/Zl34OU94qbKA1kmmrhXgNxyeYVFe49CEjT3qJJdQ==,88.0,0.0
0.155756,192.168.183.133,192.168.183.2,61797,53,108,0,post.140.09455239.2f195fb2.ns1.ssltestdomain.xyz,A,124,74.125.196.113,,,0.0
0.001024,192.168.183.133,192.168.183.2,56398,53,219,0,post.2e4adcf713df6b3101b341197d884a6e2f28a65357c83bc181445b390.b7797f84eb98ef1f308be8b0f1b67181b91378358edff6ec8880cedc.19455239.2f195fb2.ns1.ssltestdomain.xyz,A,235,74.125.196.113,,,0.0
0.001167,192.168.183.133,192.168.183.2,49877,53,122,0,post.16e712f05fd77d3c0.29455239.2f195fb2.ns1.ssltestdomain.xyz,A,138,74.125.196.113,,,0.0
