frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.183.133,192.168.183.2,56424,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,0.0.0.0,,,0.0
5.017617,192.168.183.133,192.168.183.2,58358,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.130,,,0.0
0.000953,192.168.183.133,192.168.183.2,62832,53,108,0,www.180.042537c14.2f195fb2.ns1.ssltestdomain.xyz,A,124,74.125.196.113,,,0.0
0.000706,192.168.183.133,192.168.183.2,54838,53,276,0,www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.142537c14.2f195fb2.ns1.ssltestdomain.xyz,A,292,74.125.196.113,,,0.0
0.000992,192.168.183.133,192.168.183.2,58446,53,187,0,www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.242537c14.2f195fb2.ns1.ssltestdomain.xyz,A,203,74.125.196.113,,,0.0
0.000945,192.168.183.133,192.168.183.2,52976,53,114,0,www.1a58deb48.342537c14.2f195fb2.ns1.ssltestdomain.xyz,A,130,74.125.196.113,,,0.0
0.000859,192.168.183.133,192.168.183.2,51622,53,104,0,api.04d8217da.2f195fb2.ns1.ssltestdomain.xyz,A,120,74.125.196.49,,,0.0
0.002807,192.168.183.133,192.168.183.2,57525,53,104,0,api.14d8217da.2f195fb2.ns1.ssltestdomain.xyz,TXT,205,,j2itCAXM6qhmyUMnqO62Su3ikTTKENPhX0Qpj+rbRWsDAteGTTojzds01uguvcvPBvbrov5+D4HS/Otn21IxMQ==,88.0,0.0
10.018636,192.168.183.133,192.168.183.2,51498,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,0.0.0.0,,,0.0
10.015652,192.168.183.133,192.168.183.2,49615,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.130,,,0.0
0.000917,192.168.183.133,192.168.183.2,49643,53,107,0,www.180.0cd941f9.2f195fb2.ns1.ssltestdomain.xyz,A,123,74.125.196.113,,,0.0
0.00099,192.168.183.133,192.168.183.2,64091,53,275,0,www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.1cd941f9.2f195fb2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
0.001061,192.168.183.133,192.168.183.2,57007,53,186,0,www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.2cd941f9.2f195fb2.ns1.ssltestdomain.xyz,A,202,74.125.196.113,,,0.0
0.001025,192.168.183.133,192.168.183.2,64786,53,113,0,www.1a58deb48.3cd941f9.2f195fb2.ns1.ssltestdomain.xyz,A,129,74.125.196.113,,,0.0
0.000898,192.168.183.133,192.168.183.2,64527,53,104,0,api.075b072f2.2f195fb2.ns1.ssltestdomain.xyz,A,120,0.0.0.0,,,0.0
