frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.81.139","192.168.81.2","61023","53","90","0x0000fec6","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"2","0.047073000","192.168.81.2","192.168.81.139","53","61023","106","0x0000fec6","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"3","5.022909000","192.168.81.139","192.168.81.2","58730","53","90","0x0000a2b3","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"4","0.033445000","192.168.81.2","192.168.81.139","53","58730","106","0x0000a2b3","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"12","5.020017000","192.168.81.139","192.168.81.2","54921","53","90","0x000026a6","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"13","0.020103000","192.168.81.2","192.168.81.139","53","54921","106","0x000026a6","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"71","5.006081000","192.168.81.139","192.168.81.2","50720","53","90","0x0000b5f4","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"74","0.021110000","192.168.81.2","192.168.81.139","53","50720","106","0x0000b5f4","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"163","5.016277000","192.168.81.139","192.168.81.2","60974","53","90","0x0000ea25","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"164","0.039321000","192.168.81.2","192.168.81.139","53","60974","106","0x0000ea25","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"249","5.014673000","192.168.81.139","192.168.81.2","56179","53","90","0x0000d13e","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"250","0.024749000","192.168.81.2","192.168.81.139","53","56179","106","0x0000d13e","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"313","5.000213000","192.168.81.139","192.168.81.2","65125","53","90","0x00004fbd","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"315","0.037943000","192.168.81.2","192.168.81.139","53","65125","106","0x00004fbd","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"415","5.009551000","192.168.81.139","192.168.81.2","53052","53","90","0x0000be2c","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"416","0.021011000","192.168.81.2","192.168.81.139","53","53052","106","0x0000be2c","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"477","5.023107000","192.168.81.139","192.168.81.2","56579","53","90","0x0000e5e4","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"478","0.028154000","192.168.81.2","192.168.81.139","53","56579","106","0x0000e5e4","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"531","5.012124000","192.168.81.139","192.168.81.2","60073","53","90","0x00008d01","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"534","0.049878000","192.168.81.2","192.168.81.139","53","60073","106","0x00008d01","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"605","5.004527000","192.168.81.139","192.168.81.2","49724","53","90","0x00002dd5","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
"606","0.017523000","192.168.81.2","192.168.81.139","53","49724","106","0x00002dd5","1","0","2bb0a7b2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"677","5.019819000","192.168.81.139","192.168.81.2","49198","53","90","0x00009edc","0","0","2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"680","0.025391000","192.168.81.2","192.168.81.139","53","49198","106","0x00009edc","1","0","2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"729","5.014278000","192.168.81.139","192.168.81.2","54204","53","90","0x0000ddc2","0","0","2bb0a7b2.ns2.ssltestdomain.xyz","1",,,,
