frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.133","192.168.183.2","54331","53","90","0x00008743","0","0","782f55f2.ns1.ssltestdomain.xyz","1",,,,
"2","0.002323000","192.168.183.2","192.168.183.133","53","54331","106","0x00008743","1","0","782f55f2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"3","10.012600000","192.168.183.133","192.168.183.2","61801","53","90","0x0000c76d","0","0","782f55f2.ns2.ssltestdomain.xyz","1",,,,
"4","0.006086000","192.168.183.2","192.168.183.133","53","61801","106","0x0000c76d","1","0","782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"5","0.000931000","192.168.183.133","192.168.183.2","64451","53","108","0x00002a86","0","0","www.180.010820e1a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"6","0.507258000","192.168.183.2","192.168.183.133","53","64451","124","0x00002a86","1","0","www.180.010820e1a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"7","0.001151000","192.168.183.133","192.168.183.2","60373","53","276","0x00000352","0","0","www.32607472ccf6b9cc2d6387864ce8fd3b355cd2960fde3b92a34b59ff4.7262991eeed4b5bb23ea9da0e4494b5ea832bb72f51e265ee76b4939.5bd754f538ee95102c0ff86030f84a7d69a8582c41ea27d1ff0bca07.110820e1a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"8","0.050411000","192.168.183.2","192.168.183.133","53","60373","292","0x00000352","1","0","www.32607472ccf6b9cc2d6387864ce8fd3b355cd2960fde3b92a34b59ff4.7262991eeed4b5bb23ea9da0e4494b5ea832bb72f51e265ee76b4939.5bd754f538ee95102c0ff86030f84a7d69a8582c41ea27d1ff0bca07.110820e1a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"9","0.001047000","192.168.183.133","192.168.183.2","55467","53","187","0x00004ff3","0","0","www.27c46eb4b8efe653a9dba2e4bdd89ce13f1d0497a.303b5d9d1c9438162bab2554c2a4a55726c0dc42.210820e1a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"10","0.755628000","192.168.183.2","192.168.183.133","53","55467","203","0x00004ff3","1","0","www.27c46eb4b8efe653a9dba2e4bdd89ce13f1d0497a.303b5d9d1c9438162bab2554c2a4a55726c0dc42.210820e1a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11","0.001091000","192.168.183.133","192.168.183.2","61243","53","114","0x0000c1a2","0","0","www.1b8f364e6.310820e1a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"12","0.053489000","192.168.183.2","192.168.183.133","53","61243","130","0x0000c1a2","1","0","www.1b8f364e6.310820e1a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"13","0.001087000","192.168.183.133","192.168.183.2","56379","53","103","0x0000c60e","0","0","api.06873115.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"14","0.051647000","192.168.183.2","192.168.183.133","53","56379","119","0x0000c60e","1","0","api.06873115.782f55f2.ns2.ssltestdomain.xyz","1","0.0.0.0",,,"0"
