frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.133","192.168.183.2","54695","53","90","0x0000f52f","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"2","0.011901000","192.168.183.2","192.168.183.133","53","54695","106","0x0000f52f","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"3","10.018967000","192.168.183.133","192.168.183.2","59906","53","90","0x0000a14b","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"4","0.029480000","192.168.183.2","192.168.183.133","53","59906","106","0x0000a14b","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"5","0.000935000","192.168.183.133","192.168.183.2","58394","53","108","0x0000e336","0","0","www.180.02a376a59.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"6","0.476014000","192.168.183.2","192.168.183.133","53","58394","124","0x0000e336","1","0","www.180.02a376a59.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"7","0.000907000","192.168.183.133","192.168.183.2","56882","53","276","0x00000002","0","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.12a376a59.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"8","0.252406000","192.168.183.2","192.168.183.133","53","56882","292","0x00000002","1","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.12a376a59.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"9","0.001082000","192.168.183.133","192.168.183.2","63393","53","187","0x00004949","0","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.22a376a59.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"10","0.127639000","192.168.183.2","192.168.183.133","53","63393","203","0x00004949","1","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.22a376a59.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11","0.000977000","192.168.183.133","192.168.183.2","55151","53","114","0x0000a20b","0","0","www.1a58deb48.32a376a59.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"12","0.102235000","192.168.183.2","192.168.183.133","53","55151","130","0x0000a20b","1","0","www.1a58deb48.32a376a59.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"13","0.000766000","192.168.183.133","192.168.183.2","59377","53","104","0x00004c2e","0","0","api.06d866172.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"14","0.138821000","192.168.183.2","192.168.183.133","53","59377","120","0x00004c2e","1","0","api.06d866172.2f195fb2.ns1.ssltestdomain.xyz","1","74.124.134.17",,,"0"
"15","0.001069000","192.168.183.133","192.168.183.2","55452","53","104","0x00003cdd","0","0","api.16d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"16","0.200262000","192.168.183.2","192.168.183.133","53","55452","369","0x00003cdd","1","0","api.16d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"Lqbz7azl7BsEOgR0Di7Z0OUfyvGFjY/vCyMMxeXdhvvY/dSJav99IbDg0DkdWvAB6FazqWPfA7t5/BHjBFhCYRAFvvpkZnM532iL+x//Pi+O5xp/BA5Bxd7HTtaIa/0UxdgiLGXn+BwwmsSdQVbEvsq7v6UQBO5jwXxzK9iCyCBD9N2ukv8dPjnc3Vrl29b7aIsl27QsonDnP/lBI1oP7SuaACxfcVbm6xvW9Za4ccxvG6aahxi5AYOVae3t","252","0"
"17","0.000917000","192.168.183.133","192.168.183.2","63515","53","104","0x00000455","0","0","api.26d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
