frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.133","192.168.183.2","64965","53","90","0x0000a105","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"2","0.002960000","192.168.183.2","192.168.183.133","53","64965","106","0x0000a105","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"3","0.001089000","192.168.183.133","192.168.183.2","64642","53","108","0x000086f8","0","0","www.180.03fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"4","0.203050000","192.168.183.2","192.168.183.133","53","64642","124","0x000086f8","1","0","www.180.03fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"5","0.001277000","192.168.183.133","192.168.183.2","56832","53","276","0x00009260","0","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.13fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"6","0.228315000","192.168.183.2","192.168.183.133","53","56832","292","0x00009260","1","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.13fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"7","0.001321000","192.168.183.133","192.168.183.2","50661","53","187","0x0000b841","0","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.23fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"8","0.971654000","192.168.183.2","192.168.183.133","53","50661","203","0x0000b841","1","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.23fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"9","0.001225000","192.168.183.133","192.168.183.2","53815","53","114","0x0000e4e6","0","0","www.1a58deb48.33fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"10","0.225214000","192.168.183.2","192.168.183.133","53","53815","130","0x0000e4e6","1","0","www.1a58deb48.33fd576a2.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11","0.001261000","192.168.183.133","192.168.183.2","50104","53","103","0x0000b41f","0","0","api.0e1a28cb.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"12","0.377577000","192.168.183.2","192.168.183.133","53","50104","119","0x0000b41f","1","0","api.0e1a28cb.2f195fb2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"13","10.008270000","192.168.183.133","192.168.183.2","51442","53","90","0x00009ac2","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"14","0.056455000","192.168.183.2","192.168.183.133","53","51442","106","0x00009ac2","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"15","10.015187000","192.168.183.133","192.168.183.2","62864","53","90","0x0000908e","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"16","0.049082000","192.168.183.2","192.168.183.133","53","62864","106","0x0000908e","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.131",,,"0"
"17","0.000936000","192.168.183.133","192.168.183.2","57283","53","104","0x0000e3e3","0","0","api.0376029d5.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"18","0.206749000","192.168.183.2","192.168.183.133","53","57283","120","0x0000e3e3","1","0","api.0376029d5.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.49",,,"0"
"19","0.001249000","192.168.183.133","192.168.183.2","63660","53","104","0x0000ddd9","0","0","api.1376029d5.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"20","0.056650000","192.168.183.2","192.168.183.133","53","63660","205","0x0000ddd9","1","0","api.1376029d5.2f195fb2.ns1.ssltestdomain.xyz","16",,"YlbbjzgG/cladUe05fZZq0E5G+gJQqUJ+GPprP3sN9Q5E/Zl34OU94qbKA1kmmrhXgNxyeYVFe49CEjT3qJJdQ==","88","0"
"21","0.155756000","192.168.183.133","192.168.183.2","61797","53","108","0x0000f5f9","0","0","post.140.09455239.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
