frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.133","192.168.183.2","56424","53","90","0x0000710b","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"2","0.135725000","192.168.183.2","192.168.183.133","53","56424","106","0x0000710b","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"3","5.017617000","192.168.183.133","192.168.183.2","58358","53","90","0x00001f8d","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"4","0.025897000","192.168.183.2","192.168.183.133","53","58358","106","0x00001f8d","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"5","0.000953000","192.168.183.133","192.168.183.2","62832","53","108","0x000065fc","0","0","www.180.042537c14.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"6","0.303264000","192.168.183.2","192.168.183.133","53","62832","124","0x000065fc","1","0","www.180.042537c14.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"7","0.000706000","192.168.183.133","192.168.183.2","54838","53","276","0x00000edb","0","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.142537c14.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"8","0.306235000","192.168.183.2","192.168.183.133","53","54838","292","0x00000edb","1","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.142537c14.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"9","0.000992000","192.168.183.133","192.168.183.2","58446","53","187","0x0000ee02","0","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.242537c14.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"10","0.256749000","192.168.183.2","192.168.183.133","53","58446","203","0x0000ee02","1","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.242537c14.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11","0.000945000","192.168.183.133","192.168.183.2","52976","53","114","0x0000c95d","0","0","www.1a58deb48.342537c14.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"12","0.074525000","192.168.183.2","192.168.183.133","53","52976","130","0x0000c95d","1","0","www.1a58deb48.342537c14.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"13","0.000859000","192.168.183.133","192.168.183.2","51622","53","104","0x00008321","0","0","api.04d8217da.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"14","0.052269000","192.168.183.2","192.168.183.133","53","51622","120","0x00008321","1","0","api.04d8217da.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.49",,,"0"
"15","0.002807000","192.168.183.133","192.168.183.2","57525","53","104","0x00001690","0","0","api.14d8217da.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"16","0.660143000","192.168.183.2","192.168.183.133","53","57525","205","0x00001690","1","0","api.14d8217da.2f195fb2.ns1.ssltestdomain.xyz","16",,"j2itCAXM6qhmyUMnqO62Su3ikTTKENPhX0Qpj+rbRWsDAteGTTojzds01uguvcvPBvbrov5+D4HS/Otn21IxMQ==","88","0"
"17","10.018636000","192.168.183.133","192.168.183.2","51498","53","90","0x0000fc41","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"18","0.002081000","192.168.183.2","192.168.183.133","53","51498","106","0x0000fc41","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"19","10.015652000","192.168.183.133","192.168.183.2","49615","53","90","0x000006d9","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"20","0.002252000","192.168.183.2","192.168.183.133","53","49615","106","0x000006d9","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"21","0.000917000","192.168.183.133","192.168.183.2","49643","53","107","0x00008169","0","0","www.180.0cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"22","0.763907000","192.168.183.2","192.168.183.133","53","49643","123","0x00008169","1","0","www.180.0cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"23","0.000990000","192.168.183.133","192.168.183.2","64091","53","275","0x00006881","0","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.1cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"24","0.059458000","192.168.183.2","192.168.183.133","53","64091","291","0x00006881","1","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.1cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"25","0.001061000","192.168.183.133","192.168.183.2","57007","53","186","0x000036bc","0","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.2cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"26","0.451997000","192.168.183.2","192.168.183.133","53","57007","202","0x000036bc","1","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.2cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"27","0.001025000","192.168.183.133","192.168.183.2","64786","53","113","0x0000bd2d","0","0","www.1a58deb48.3cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"28","0.052379000","192.168.183.2","192.168.183.133","53","64786","129","0x0000bd2d","1","0","www.1a58deb48.3cd941f9.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"29","0.000898000","192.168.183.133","192.168.183.2","64527","53","104","0x0000edf2","0","0","api.075b072f2.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"30","0.809663000","192.168.183.2","192.168.183.133","53","64527","120","0x0000edf2","1","0","api.075b072f2.2f195fb2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
