frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.133","192.168.183.2","52000","53","90","0x0000ddbf","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"2","0.626762000","192.168.183.2","192.168.183.133","53","52000","106","0x0000ddbf","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"3","5.014369000","192.168.183.133","192.168.183.2","64359","53","90","0x00004d97","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"4","0.707497000","192.168.183.2","192.168.183.133","53","64359","106","0x00004d97","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"5","5.008892000","192.168.183.133","192.168.183.2","53194","53","90","0x00007e02","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"6","0.001970000","192.168.183.2","192.168.183.133","53","53194","106","0x00007e02","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"7","5.014020000","192.168.183.133","192.168.183.2","54723","53","90","0x00000948","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"8","0.002088000","192.168.183.2","192.168.183.133","53","54723","106","0x00000948","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"9","5.001616000","192.168.183.133","192.168.183.2","64346","53","90","0x0000d814","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"10","0.001492000","192.168.183.2","192.168.183.133","53","64346","106","0x0000d814","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11","4.999263000","192.168.183.133","192.168.183.2","59098","53","90","0x000000c2","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"12","0.002229000","192.168.183.2","192.168.183.133","53","59098","106","0x000000c2","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"13","5.016680000","192.168.183.133","192.168.183.2","49999","53","90","0x00006591","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"14","0.004867000","192.168.183.2","192.168.183.133","53","49999","106","0x00006591","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"15","5.010347000","192.168.183.133","192.168.183.2","59294","53","90","0x0000a75d","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"16","0.004520000","192.168.183.2","192.168.183.133","53","59294","106","0x0000a75d","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
