frame.number,request_time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.host,http.request.uri,http.request.method,frame.request_len,http.cookie,http.referer,http.user_agent,http.post_body,http.date,http.response.code,http.response_body,http.content_type,http.content_length,frame.response_len,response_time
3,0.429466,13.225.100.225,192.168.183.133,80,51797,,,,1514,,,,,,,,,,,
6,10.443973,192.168.183.133,13.225.100.225,51797,80,d32jqjeqo1vb2n.cloudfront.net,/jquery-3.3.1.min.js,GET,588,__cfduid=CRq9vL3ksnVSlJi8EQlPyeFlzWMNBkd3y3mIJRvp2IHc-0RVqyERhFEzYiSouiTSvxkHRWiPvCVcnhlG8l-Zp9DFtoBCn0el8ixHQmIuKUE99bYAXRQO_OPpF7lpG2qFA0Nx0Y8xXz6ajFjRJJK_6wM5GFXv4zYQH0izn9EsrkE,http://code.jquery.com/,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,,,,,,
8,13.996723,13.225.100.225,192.168.183.133,80,51797,,,,1494,,,,"amd&&define(jquery"",[],function(){return w});var Jt=e.jQuery,Kt=e.$;return w.noConflict=function(t){return e.$===w&&(e.$=Kt),t&&e.jQuery===w&&(e.jQuery=Jt),w},t||(e.jQuery=e.$=w),w});HTTP/1.1 200 OK\r\nContent-Type: application/javascript; charset=utf-8\r\nContent-Length: 5543\r\nConnection: keep-alive\r\nDate: Thu, 26 Aug 2021 07:17:31 GMT\r\nServer: nginx\r\nCache-Control: max-age=0, no-cache\r\nPragma: no-cache\r\nX-Cache: Miss from cloudfront\r\nVia: 1.1 3ebb4b474894184bf142b058d305720d.cloudfront.net (CloudFront)\r\nX-Amz-Cf-Pop: HKG60-C1\r\nX-Amz-Cf-Id: Gj4y4GKDX8HxrWbarIjNGRL7b6pvJkL-1xmiDZPUFi3fzzy6F5qvIg==\r\n\r\n/*! jQuery v3.3.1 | (c) JS Foundation and other contributors | jquery.org/license */!function(e,t){""use strict"";""object""==typeof module&&""object""==typeof module.exports?module.exports=e.document?t(e,!0):function(e){if(!e.document)throw new Error(""jQuery requires a window with a document"");return t(e)}:t(e)}(""undefined""!=typeof window?window:this,function(e,t){""use strict"";var n=[],r=e.document,i=Object.getPrototypeOf,o=n.slice,a=n.concat,s=n.push,u=n.indexOf,l={},c=l.toString,f=l.hasOwnProperty,p=f.toString,d=p.call(Object),h={},g=function e(t){return""function""==typeof t&&""number""!=typeof t.nodeType},y=function e(t){return null!=t&&t===t.window},v={type:!0,src:!0,noModule:!0};function m(e,t,n){var i,o=(t=t||r).createElement(""script"");if(o.text=e,n)for(i in v)n[i]&&(o[i]=n[i]);t.head.appendChild(o).parentNode.removeChild(o)}function x(e){return null==e?e+"""":""object""==typeof e||""function""==typeof e?l[c.call(e)]||""object"":typeof e}var b=""3.3.1"",w=function(e,t){return new w.fn.init(e,t)},T=/^[\s\uFEFF\xA0]+|""",,,,,,,
12,14.904644,13.225.100.225,192.168.183.133,80,51797,,,,1514,,,,,,,,,,,
15,24.932797,192.168.183.133,13.225.100.225,51797,80,d32jqjeqo1vb2n.cloudfront.net,/jquery-3.3.1.min.js,GET,588,__cfduid=CRq9vL3ksnVSlJi8EQlPyeFlzWMNBkd3y3mIJRvp2IHc-0RVqyERhFEzYiSouiTSvxkHRWiPvCVcnhlG8l-Zp9DFtoBCn0el8ixHQmIuKUE99bYAXRQO_OPpF7lpG2qFA0Nx0Y8xXz6ajFjRJJK_6wM5GFXv4zYQH0izn9EsrkE,http://code.jquery.com/,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,,,,,,,
17,25.323223,13.225.100.225,192.168.183.133,80,51797,,,,1514,,,,"n w});var Jt=e.jQuery,Kt=e.$;return w.noConflict=function(t){return e.$===w&&(e.$=Kt),t&&e.jQuery===w&&(e.jQuery=Jt),w},t||(e.jQuery=e.$=w),w});HTTP/1.1 200 OK\r\nContent-Type: application/javascript; charset=utf-8\r\nContent-Length: 268497\r\nConnection: keep-alive\r\nDate: Thu, 26 Aug 2021 07:17:46 GMT\r\nServer: nginx\r\nCache-Control: max-age=0, no-cache\r\nPragma: no-cache\r\nX-Cache: Miss from cloudfront\r\nVia: 1.1 3ebb4b474894184bf142b058d305720d.cloudfront.net (CloudFront)\r\nX-Amz-Cf-Pop: HKG60-C1\r\nX-Amz-Cf-Id: waImy49JZ5WSU25-2L35W6UsgoR0hiqxiQUU2t8f2ZYPAd9izDb6UQ==\r\n\r\n/*! jQuery v3.3.1 | (c) JS Foundation and other contributors | jquery.org/license */!function(e,t){use strict"";""object""==typeof module&&""object""==typeof module.exports?module.exports=e.document?t(e,!0):function(e){if(!e.document)throw new Error(""jQuery requires a window with a document"");return t(e)}:t(e)}(""undefined""!=typeof window?window:this,function(e,t){""use strict"";var n=[],r=e.document,i=Object.getPrototypeOf,o=n.slice,a=n.concat,s=n.push,u=n.indexOf,l={},c=l.toString,f=l.hasOwnProperty,p=f.toString,d=p.call(Object),h={},g=function e(t){return""function""==typeof t&&""number""!=typeof t.nodeType},y=function e(t){return null!=t&&t===t.window},v={type:!0,src:!0,noModule:!0};function m(e,t,n){var i,o=(t=t||r).createElement(""script"");if(o.text=e,n)for(i in v)n[i]&&(o[i]=n[i]);t.head.appendChild(o).parentNode.removeChild(o)}function x(e){return null==e?e+"""":""object""==typeof e||""function""==typeof e?l[c.call(e)]||""object"":typeof e}var b=""3.3.1"",w=function(e,t){return new w.fn.init(e,t)},T=/^[\s\uFEFF\xA0]+|[\s\uFEFF\xA0]+$/g""",,,,,,,
21,25.331043,13.225.100.225,192.168.183.133,80,51797,,,,1474,,,,,,,,,,,
